titre,cineaste,casting,date_sortie,duree_minutes,nationalites,synopsis,status,categories,thematiques,affiche_image,dossier_presse,affiche_photos,bande_annonce_fichier,bande_annonce_url,slug
De Bruit Et De Fureur,Jean-Claude Brisseau,"Vincent Gasperitsch, François Negret, Bruno Cremer, Fabienne Babe, Antoine Fontaine, Luc Ponette",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1988/06/mea-bruit-fureur.jpg,,,,,de-bruit-et-de-fureur.html
Dandin,Roger Planchon,"Claude Brasseur, Zabou Breitman, Daniel Gelin, Nelly Borgeaud, Jean-Claude Adelin, Evelyne Buyle",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1988/01/poster-0-dandin.jpg,,,,,dandin.html
La Mort D’empédocle,Marie Straub La,"Andreas Von Rauch, Vladimir Baratta, Martina Baratta, Ute Cremer, Howard Vernon, William Berger",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-la-mort-dempedocle.jpg,,,,,la-mort-dempedocle.html
L’ami De Mon Amie,Eric Rohmer,"Emmanuelle Chaulet, Sophie Renoir, Anne-Laure Meury, Eric Viellard",,,,"Emmanuelle Chaulet, Sophie Renoir, Anne-Laure Meury, Eric Viellard,",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-lami-de-mon-amie.jpg,,,,,lami-de-mon-amie.html
Quatre Aventures De Reinette Et Mirabelle,Eric Rohmer,"Joëlle Miquel, Jessica Forde, François-Marie Banier, Marie Rivière, Jean-Claude Brisseau, Fabrice Luchini",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-quatre-aventures-de-reinette-et-mirabelle.jpg,,,,,quatre-aventures-de-reinette-et-mirabelle.html
Le Rayon Vert,Eric Rohmer,"Marie Rivière, Béatrice Romand, Carita, Rosette",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-le-rayon-vert.jpg,,,,,le-rayon-vert.html
Les Nuits De La Pleine Lune,Eric Rohmer,"Tcheky Karyo, Pascale Ogier, Fabrice Luchini, Virginie Thevenet",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-les-nuits-de-la-pleine-lune.jpg,,,,,les-nuits-de-la-pleine-lune.html
Mauvaise Conduite,Nestor Almendros,"Reinalda Arenas, Susan Sontag, Heberto Padilla, Guillermo Gabrera Infante",,,,"Reinalda Arenas, Susan Sontag, Heberto Padilla, Guillermo Gabrera Infante,",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-mauvaise-conduite.jpg,,,,,mauvaise-conduite.html
Tricheurs,Barbet Schroeder,"Jacques Dutronc, Bulle Ogier, Kurt Raab, Virgilio Teixeira, Steve Baes, Roger Sabib",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-tricheurs.jpg,,,,,tricheurs.html
Liberty Belle,Pascal Kané,"Jérôme Zucca, Dominique Laffin, André Dussollier, Philippe Caroit, Jean-Pierre Kalfon",,,,"Jérôme Zucca, Dominique Laffin, André Dussollier, Philippe Caroit, Jean-Pierre Kalfon,",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/1993/04/poster-0-liberty-belle.jpg,,,,,liberty-belle.html
Un Jeu Brutal,Jean-Claude Brisseau,"Bruno Cremer, Emmanuelle Debever, Liza Hérédia, Albert Pigot, Jean Douchet, Humbert Balsan",,,,"Bruno Cremer, Emmanuelle Debever, Liza Hérédia, Albert Pigot, Jean Douchet,  Humbert Balsan",catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-un-jeu-brutal.jpg,,,,,un-jeu-brutal.html
Pauline à La Plage,Eric Rohmer,"Amanda Langlet, Arielle Dombasle, Pascal Greggory, Feodor Atkine",,,,,catalogue,production,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-pauline-a-la-plage.jpg,,,,,pauline-a-la-plage.html
